Specimen Type,Lab Test Name,LBTEST,LBTESTCD,Collected Unit,Standard Unit,Standard Conversion Factor,Creation Date,Last Modified Date,Reference Standard Unit
serum,Pecan Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Pecan Tree IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Pepsinogen I,Pepsinogen I,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Pepsinogen I/Pepsinogen II Ratio,#N/A,,,,,2018/4/27,,
serum,Pepsinogen II,Pepsinogen II,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Peptide YY,Peptide YY,,pg/mL,pmol/L,0.25,2018/4/27,,Y
serum,Perennial Rye Grass Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Perennial Ryegrass IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,"Pertussis 2,3 Fimbriae IgG Antibody",#N/A,,ELISA/mL,ELISA/mL,1,2018/4/27,,N
serum,Pertussis FHA IgG Antibody,#N/A,,ELISA/mL,ELISA/mL,1,2018/4/27,,N
serum,Pertussis FHA IgG Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
serum,Pertussis Pertactin IgG Antibody,#N/A,,ELISA/mL,ELISA/mL,1,2018/4/27,,N
serum,Pertussis Toxoid Antibody,#N/A,,ELISA/mL,ELISA/mL,1,2018/4/27,,N
serum,Pertussis Toxoid Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
serum,Phenobarbital,Phenobarbital,,microgm/mL,micromol/L,4.31,2018/4/27,,Y
plasma,Phenobarbital,Phenobarbital,,microgm/mL,micromol/L,4.31,2018/4/27,,Y
plasma,Phenytoin,#N/A,,mg/L,micromol/L,3.96,2018/4/27,,Y
plasma,Phenytoin,#N/A,,microgm/mL,micromol/L,3.96,2018/4/27,,Y
serum,Phenytoin,#N/A,,mg/L,micromol/L,3.96,2018/4/27,,Y
serum,Phenytoin,#N/A,,micromol/L,micromol/L,1,2018/4/27,,Y
blood,Phenytoin,#N/A,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Phenytoin,#N/A,,microgm/mL,micromol/L,3.96,2018/4/27,,Y
plasma,Phenytoin,#N/A,,micromol/L,micromol/L,1,2018/4/27,,Y
blood,Phenytoin,#N/A,,microgm/mL,micromol/L,3.96,2018/4/27,,Y
plasma,Phosphate,Phosphate,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Phosphate,Phosphate,,mg/dL,mmol/L,0.3229,2018/4/27,,Y
blood,Phosphate,Phosphate,,mg/L,mmol/L,0.0323,2018/4/27,,Y
serum,Phosphate,Phosphate,,mg%,mmol/L,0.3229,2018/4/27,,Y
serum,Phosphate,Phosphate,,mg/dL,mmol/L,0.3229,2018/4/27,,Y
blood,Phosphate,Phosphate,,mEq/L,mmol/L,0.5556,2018/4/27,,Y
serum,Phosphate,Phosphate,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Phosphate,Phosphate,,mg/L,mmol/L,0.0323,2018/4/27,,Y
plasma,Phosphate,Phosphate,,mg/L,mmol/L,0.0323,2018/4/27,,Y
plasma,Phosphate,Phosphate,,mEq/L,mmol/L,0.5556,2018/4/27,,Y
blood,Phosphate,Phosphate,,mg/dL,mmol/L,0.3229,2018/4/27,,Y
blood,Phosphate,Phosphate,,mg%,mmol/L,0.3229,2018/4/27,,Y
serum,Phosphate,Phosphate,,mEq/L,mmol/L,0.5556,2018/4/27,,Y
plasma,Phosphate,Phosphate,,mg%,mmol/L,0.3229,2018/4/27,,Y
blood,Phosphate,Phosphate,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Phosphate/Creatinine,Phosphate/Creatinine,,,,,2018/4/27,,
serum,Phospholipid,Phospholipid,,mg/dL,mg/dL,1,2018/4/27,,Y
serum,Pine Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Pityrosporum orbiculare IgE,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Pityrosporum orbiculare IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Pityrosporum ovale IgE,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Pityrosporum ovale IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Plantain Weed Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
plasma,Plasma Amyloid Beta Protein 1-40,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
blood,Plasma Cells Total/Lymphocytes,#N/A,,%,%,1,2018/4/27,,Y
blood,Plasmacytoid Lymphocytes,Plasmacytoid Lymphocytes,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Plasmacytoid Lymphocytes,Plasmacytoid Lymphocytes,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Plasmacytoid Lymphocytes/Lymphocytes,Plasmacytoid Lymphocytes/Lymphocytes,,%,%,1,2018/4/27,,Y
plasma,Plasminogen Activator Inhibitor,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
plasma,Plasminogen Activator Inhibitor,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
plasma,Plasminogen Activator Inhibitor-1 Ag,Plasminogen Activator Inhibitor-1 AG,,ng/mL,ng/mL,1,2018/4/27,,N
blood,Platelet,#N/A,,/microL,10[9]/L,0.001,2018/4/27,,Y
blood,Platelet,#N/A,,10[4]/microL,10[9]/L,10,2018/4/27,,Y
blood,Platelet,#N/A,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Platelet,#N/A,,10[5]/microL,10[9]/L,100,2018/4/27,,Y
blood,Platelet,#N/A,,/mm[3],10[9]/L,0.001,2018/4/27,,Y
blood,Platelet,#N/A,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Platelet,#N/A,,10[4]/mm[3],10[9]/L,10,2018/4/27,,Y
blood,Platelet,#N/A,,10[5]/mm[3],10[9]/L,100,2018/4/27,,Y
blood,Platelet,#N/A,,/nL,10[9]/L,1,2018/4/27,,Y
blood,Platelet,#N/A,,10[12]/L,10[9]/L,1000,2018/4/27,,N
blood,Platelet,#N/A,,mm[3],10[9]/L,0.001,2018/4/27,,Y
blood,Platelet,#N/A,,10[6]/mL,10[9]/L,1,2018/4/27,,Y
blood,Platelet,#N/A,,10[3]/mm[3],10[9]/L,1,2018/4/27,,Y
blood,Platelet Aggregation COL/EPI,#N/A,,sec,sec,1,2018/4/27,,Y
blood,Platelet Distribution Width,Platelet Distribution Width,,%,%,1,2018/4/27,,N
blood,Platelet Estimate,#N/A,,/mm[3],/microL,1,2018/4/27,,N
blood,Platelet Estimate,#N/A,,10[3]/microL,/microL,1000,2018/4/27,,Y
blood,Platelet Estimate,#N/A,,/microL,/microL,1,2018/4/27,,N
blood,Platelet Larger Cell Ratio,#N/A,,%,%,1,2018/4/27,,N
blood,Platelet P2Y12 Inhibition,#N/A,,%,%,1,2018/4/27,,Y
blood,Plateletcrit,#N/A,,%,%,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 1 ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 1 MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 14 ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 14 MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 18C ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 18C MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 19A ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 19A MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 19F ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 19F MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 22F ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 22F MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 23F ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 23F MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 3 ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 3 MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 33F ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 33F MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 4 ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 4 MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 5 ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 5 MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 6A ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 6A MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 6B ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 6B MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 6C MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 7F ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 7F MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 9V ECL,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Ab Serotype 9V MOPA,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Pneumococcal IgG Ab Serotype 1,#N/A,,microgm/mL,mg/L,1,2018/4/27,,Y
serum,Pneumococcal IgG Ab Serotype 1,#N/A,,mg/L,mg/L,1,2018/4/27,,Y
serum,Pneumococcal IgG Ab Serotype 19F,#N/A,,microgm/mL,mg/L,1,2018/4/27,,Y
serum,Pneumococcal IgG Ab Serotype 19F,#N/A,,mg/L,mg/L,1,2018/4/27,,Y
serum,Pneumococcal IgG Ab Serotype 23F,#N/A,,mg/L,mg/L,1,2018/4/27,,Y
serum,Pneumococcal IgG Ab Serotype 23F,#N/A,,microgm/mL,mg/L,1,2018/4/27,,Y
serum,Pneumococcal IgG Ab Serotype 6B,#N/A,,mg/L,mg/L,1,2018/4/27,,Y
serum,Pneumococcal IgG Ab Serotype 6B,#N/A,,microgm/mL,mg/L,1,2018/4/27,,Y
serum,Pneumococcal Polysaccharide Ab Seroty19A,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Polysaccharide Ab Seroty19F,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Polysaccharide Ab Seroty22F,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Polysaccharide Ab Seroty23F,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Polysaccharide Ab Serotyp1,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,Y
serum,Pneumococcal Polysaccharide Ab Serotyp14,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Pneumococcal Polysaccharide Ab Serotyp6B,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,Y
serum,Pneumococcal Polysaccharide Ab Serotype3,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,N
serum,Poliovirus Type 1 Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
serum,Poliovirus Type 1 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,N
serum,Poliovirus Type 2 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,N
serum,Poliovirus Type 2 Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
serum,Poliovirus Type 3 Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,N
serum,Poliovirus Type 3 Antibody,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
blood,Polymorphonuclear Leukocytes,#N/A,,10[3]/mm[3],10[9]/L,1,2018/4/27,,Y
blood,Polymorphonuclear Leukocytes,#N/A,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Polymorphonuclear Leukocytes/Leukocytes,#N/A,,%,%,1,2018/4/27,,Y
serum,Potassium,Potassium,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Potassium,Potassium,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Potassium,Potassium,,mEq/L,mmol/L,1,2018/4/27,,Y
plasma,Potassium,Potassium,,mg/dL,mmol/L,0.2558,2018/4/27,,Y
serum,Potassium,Potassium,,mEq/L,mmol/L,1,2018/4/27,,Y
serum,Potassium,Potassium,,mg/dL,mmol/L,0.2558,2018/4/27,,Y
plasma,Potassium,Potassium,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Potassium,Potassium,,mg/dL,mmol/L,0.2558,2018/4/27,,Y
blood,Potassium,Potassium,,mEq/L,mmol/L,1,2018/4/27,,Y
serum,Potato f35 Allergen Sp IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Prealbumin,Prealbumin,,mg/dL,mg/L,10,2018/4/27,,Y
blood,Prealbumin,Prealbumin,,mg/dL,mg/L,10,2018/4/27,,Y
serum,Prealbumin,Prealbumin,,mg/L,mg/L,1,2018/4/27,,Y
blood,Precursor Plasma Cells,Precursor Plasma Cells,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Precursor Plasma Cells,Precursor Plasma Cells,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Precursor Plasma Cells/Lymphocytes,Precursor Plasma Cells/Lymphocytes,,%,%,1,2018/4/27,,Y
plasma,Pregnancy-Associated Plasma Protein A,#N/A,,mIU/mL,mIU/mL,1,2018/4/27,,N
serum,Presepsin,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Pro-Gastrin-Releasing Peptide,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
serum,Procalcitonin,Procalcitonin,,microgm/L,ng/mL,1,2018/4/27,,Y
plasma,Procalcitonin,Procalcitonin,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Procalcitonin,Procalcitonin,,ng/mL,ng/mL,1,2018/4/27,,N
blood,Procalcitonin,Procalcitonin,,microgm/L,ng/mL,1,2018/4/27,,Y
blood,Procalcitonin,Procalcitonin,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Procollagen Type I N-Terminal Propeptide,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Procollagen Type I N-Terminal Propeptide,#N/A,,pg/mL,microgm/L,0.001,2018/4/27,,Y
serum,Procollagen Type I N-Terminal Propeptide,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Progesterone,Progesterone,,ng/mL,nmol/L,3.18,2018/4/27,,Y
serum,Progesterone,Progesterone,,ng/dL,nmol/L,0.0318,2018/4/27,,Y
serum,Progesterone,Progesterone,,nmol/L,nmol/L,1,2018/4/27,,Y
serum,Proinsulin/Insulin Ratio,Proinsulin/Insulin Ratio,,,,,2018/4/27,,
serum,Prolactin,Prolactin,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Prolactin,Prolactin,,microgm/L,microgm/L,1,2018/4/27,,Y
serum,Prolactin,Prolactin,,mIU/L,microgm/L,0.0472,2018/4/27,,Y
serum,Prolactin,Prolactin,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Prolactin,Prolactin,,pmol/L,microgm/L,0.023,2018/4/27,,Y
serum,Prolactin,Prolactin,,nmol/L,microgm/L,23,2018/4/27,,Y
plasma,Prolactin,Prolactin,,nmol/L,microgm/L,23,2018/4/27,,Y
blood,Prolactin,Prolactin,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Prolactin,Prolactin,,pmol/L,microgm/L,0.023,2018/4/27,,Y
plasma,Prolactin,Prolactin,,IU/L,microgm/L,47.2,2018/4/27,,Y
plasma,Prolactin,Prolactin,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Prolactin,Prolactin,,mIU/L,microgm/L,0.0472,2018/4/27,,Y
blood,Prolactin,Prolactin,,pmol/L,microgm/L,0.023,2018/4/27,,Y
blood,Prolactin,Prolactin,,nmol/L,microgm/L,23,2018/4/27,,Y
plasma,Prolactin,Prolactin,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Prolactin,Prolactin,,mIU/L,microgm/L,0.0472,2018/4/27,,Y
blood,Prolymphocytes,Prolymphocytes,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Prolymphocytes,Prolymphocytes,,/mm[3],10[9]/L,0.001,2018/4/27,,Y
blood,Prolymphocytes,Prolymphocytes,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Prolymphocytes,Prolymphocytes,,/microL,10[9]/L,0.001,2018/4/27,,Y
blood,Prolymphocytes,Prolymphocytes,,/nL,10[9]/L,1,2018/4/27,,Y
blood,Prolymphocytes,Prolymphocytes,,10[3]/mm[3],10[9]/L,1,2018/4/27,,Y
blood,Prolymphocytes/Leukocytes,Prolymphocytes/Leukocytes,,%,%,1,2018/4/27,,Y
blood,Promonocytes,Promonocytes,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Promonocytes,Promonocytes,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Promonocytes/Leukocytes,Promonocytes/Leukocytes,,%,%,1,2018/4/27,,Y
blood,Promyelocytes,Promyelocytes,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Promyelocytes,Promyelocytes,,/mm[3],10[9]/L,0.001,2018/4/27,,Y
blood,Promyelocytes,Promyelocytes,,/nL,10[9]/L,1,2018/4/27,,Y
blood,Promyelocytes,Promyelocytes,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Promyelocytes,Promyelocytes,,/microL,10[9]/L,0.001,2018/4/27,,Y
blood,Promyelocytes,Promyelocytes,,10[3]/mm[3],10[9]/L,1,2018/4/27,,Y
blood,Promyelocytes/Leukocytes,Promyelocytes/Leukocytes,,%,%,1,2018/4/27,,Y
plasma,Proprotein Convertase Subtilisin Kexin-9,#N/A,,ng/mL,ng/mL,1,2018/4/27,,N
blood,Prorubricyte,Prorubricyte,,cells/100 WBC,%,1,2018/4/27,,Y
serum,Prostate Specific Antigen,Prostate Specific Antigen,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Prostate Specific Antigen,Prostate Specific Antigen,,microgm/L,microgm/L,1,2018/4/27,,Y
blood,Prostate Specific Antigen,Prostate Specific Antigen,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Prostate Specific Antigen,Prostate Specific Antigen,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Prostate Specific Antigen,Prostate Specific Antigen,,ng/mL,microgm/L,1,2018/4/27,,Y
blood,Prostate Specific Antigen,Prostate Specific Antigen,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Prostatic Acid Phosphatase,Prostatic Acid Phosphatase,,ng/mL,microgm/L,1,2018/4/27,,N
plasma,Prostatic Acid Phosphatase,Prostatic Acid Phosphatase,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Prostatic Acid Phosphatase,Prostatic Acid Phosphatase,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Prostatic Acid Phosphatase,Prostatic Acid Phosphatase,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Protein,Protein,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Protein,Protein,,gm%,gm/L,10,2018/4/27,,Y
serum,Protein,Protein,,gm/100mL,gm/L,10,2018/4/27,,Y
serum,Protein,Protein,,mg/dL,gm/L,0.01,2018/4/27,,Y
blood,Protein,Protein,,gm/L,gm/L,1,2018/4/27,,Y
blood,Protein,Protein,,gm%,gm/L,10,2018/4/27,,Y
blood,Protein,Protein,,mg%,gm/L,0.01,2018/4/27,,Y
plasma,Protein,Protein,,gm/dL,gm/L,10,2018/4/27,,Y
blood,Protein,Protein,,gm/dL,gm/L,10,2018/4/27,,Y
plasma,Protein,Protein,,mg%,gm/L,0.01,2018/4/27,,Y
plasma,Protein,Protein,,gm/100mL,gm/L,10,2018/4/27,,Y
serum,Protein,Protein,,gm/dL,gm/L,10,2018/4/27,,Y
plasma,Protein,Protein,,gm/L,gm/L,1,2018/4/27,,Y
blood,Protein,Protein,,mg/dL,gm/L,0.01,2018/4/27,,Y
blood,Protein,Protein,,gm/100mL,gm/L,10,2018/4/27,,Y
serum,Protein,Protein,,gm%,gm/L,10,2018/4/27,,Y
serum,Protein,Protein,,gm/L,gm/L,1,2018/4/27,,Y
serum,Protein,Protein,,mg%,gm/L,0.01,2018/4/27,,Y
plasma,Protein C,#N/A,,%,%,1,2018/4/27,,Y
serum,Protein Induced in Vitamin K Absence FII,#N/A,,mU/mL,mU/mL,1,2018/4/27,,Y
plasma,Protein Induced in Vitamin K Absence FII,#N/A,,mU/mL,mU/mL,1,2018/4/27,,Y
plasma,Protein S,Protein S,,%,%,1,2018/4/27,,Y
serum,Protein/Creatinine Mean,#N/A,,gm/gm,gm/gm,1,2018/4/27,,N
serum,Protein/Creatinine Ratio,#N/A,,mg/gm,mg/gm,1,2018/4/27,,N
serum,Prothrombin Consumption Time,#N/A,,sec,sec,1,2018/4/27,,N
plasma,Prothrombin Index,#N/A,,%,%,1,2018/4/27,,Y
blood,Prothrombin Index,#N/A,,%,%,1,2018/4/27,,Y
plasma,Prothrombin Intl. Normalized Ratio,Prothrombin Intl. Normalized Ratio,,,,,2018/4/27,,
blood,Prothrombin Intl. Normalized Ratio,Prothrombin Intl. Normalized Ratio,,,,,2018/4/27,,
blood,Prothrombin Time,Prothrombin Time,,%,%,1,2018/4/27,,Y
plasma,Prothrombin Time,Prothrombin Time,,ratio (/),ratio (/),1,2018/4/27,,Y
plasma,Prothrombin Time,Prothrombin Time,,%,%,1,2018/4/27,,Y
blood,Prothrombin Time,Prothrombin Time,,sec,sec,1,2018/4/27,,Y
blood,Prothrombin Time,Prothrombin Time,,ratio (/),ratio (/),1,2018/4/27,,Y
plasma,Prothrombin Time,Prothrombin Time,,sec,sec,1,2018/4/27,,Y
blood,Prothrombin Time Control,#N/A,,sec,sec,1,2018/4/27,,Y
plasma,Prothrombin Time Control,#N/A,,sec,sec,1,2018/4/27,,Y
blood,Prothrombin Time Ratio,#N/A,,,,,2018/4/27,,
plasma,Prothrombin Time Ratio,#N/A,,,,,2018/4/27,,
plasma,Prothrombin-Proconvertin,#N/A,,%,%,1,2018/4/27,,Y
blood,QuantiFERON Mitogen-Nil,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
plasma,QuantiFERON Mitogen-Nil,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
plasma,QuantiFERON Nil,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
blood,QuantiFERON Nil,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
blood,QuantiFERON TB Ag-Nil,#N/A,,IU/mL,IU/mL,1,2018/4/27,,N
plasma,QuantiFERON TB Ag-Nil,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
plasma,QuantiFERON TB Gold,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
blood,QuantiFERON TB Gold,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
plasma,RANTES,RANTES,,ng/mL,ng/mL,1,2018/4/27,,N
serum,RANTES,RANTES,,ng/mL,ng/mL,1,2018/4/27,,N
serum,Ragweed Allergen,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Ragweed Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,Rapid Plasma Reagin Card,#N/A,,,,,2018/4/27,,
serum,Rapid Plasma Reagin Card,#N/A,,,,,2018/4/27,,
blood,Reaction Time,#N/A,,min,min,1,2018/4/27,,Y
blood,Reactive Lymphocytes,Reactive Lymphocytes,,/mm[3],10[9]/L,0.001,2018/4/27,,Y
blood,Reactive Lymphocytes,Reactive Lymphocytes,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Reactive Lymphocytes,Reactive Lymphocytes,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Reactive Lymphocytes,Reactive Lymphocytes,,/microL,10[9]/L,0.001,2018/4/27,,Y
blood,Reactive Lymphocytes/Lymphocytes,Reactive Lymphocytes/Lymphocytes,,%,%,1,2018/4/27,,Y
blood,Red Blood Cell Folate,#N/A,,ng/mL,nmol/L,2.265,2018/4/27,,Y
blood,Red Blood Cell Folate,#N/A,,nmol/L,nmol/L,1,2018/4/27,,Y
serum,Red Cedar Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Red Top Grass Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Regeneratin Islet-Derived 3Alpha Protein,#N/A,,ng/mL,ng/mL,1,2018/4/27,,N
plasma,Renin,RENIN,,ng/mL/hr,ng/mL/hr,1,2018/4/27,,N
plasma,Renin,RENIN,,mIU/L,mIU/L,1,2018/4/27,,Y
serum,Respiratory Syncytial Virus IgG Antibody,#N/A,,index,index,1,2018/4/27,,Y
serum,Respiratory Syncytial Virus IgM Antibody,#N/A,,index,index,1,2018/4/27,,Y
blood,Reticulocyte Hemoglobin Content,#N/A,,pg,pg,1,2018/4/27,,Y
blood,Reticulocytes,Reticulocytes,,10[3]/mm[3],10[9]/L,1,2018/4/27,,Y
blood,Reticulocytes,Reticulocytes,,10[12]/L,10[9]/L,1000,2018/4/27,,Y
blood,Reticulocytes,Reticulocytes,,10[6]/microL,10[9]/L,1000,2018/4/27,,Y
blood,Reticulocytes,Reticulocytes,,/mm[3],10[9]/L,0.001,2018/4/27,,Y
blood,Reticulocytes,Reticulocytes,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Reticulocytes,Reticulocytes,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Reticulocytes,Reticulocytes,,/microL,10[9]/L,0.001,2018/4/27,,Y
blood,Reticulocytes Corrected,#N/A,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Reticulocytes Corrected/Erythrocytes,#N/A,,%,%,1,2018/4/27,,Y
blood,Reticulocytes/Erythrocytes,Reticulocytes/Erythrocytes,,/1000 RBC,%,0.1,2018/4/27,,Y
blood,Reticulocytes/Erythrocytes,Reticulocytes/Erythrocytes,,%,%,1,2018/4/27,,Y
serum,Rheumatoid Factor,Rheumatoid Factor,,U/mL,kIU/L,1,2018/4/27,,Y
serum,Rheumatoid Factor,Rheumatoid Factor,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,Rheumatoid Factor,Rheumatoid Factor,,IU/mL,kIU/L,1,2018/4/27,,Y
blood,Rheumatoid Factor,Rheumatoid Factor,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Rheumatoid Factor,Rheumatoid Factor,,IU/mL,kIU/L,1,2018/4/27,,Y
